Subject Id,Visit,SessionID,Study Identifier,Domain Abbreviation,Project Unique Identifier,Cohort,Subject Identification,Pool Identifier,Focus of Study-Specific Interest,Name of Treatment,Dose,Dose Description,Dose Units,Dose Form,Dosing Frequency per Interval,Route of Administration,Lot Number,Location of Dose Administration,Method of Administration,Treatment Vehicle,Amount Administered,Amount Administered Units,Reason for Dose Adjustment,Start Date/Time of Treatment,End Date/Time of Treatment,Study Day of Start of Treatment,Study Day of End of Treatment,Duration of Treatment,Planned Time Point Name,Planned Time Point Number,Planned Elapsed Time from Time Point Ref,Time Point Reference,Date/Time of Reference Time Point
N150a012,EX,N150a012_30.0_2,"Xeno Nimo Hypox,FaDu",EX,N150,a,12,,,CISPLATIN,111,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.37,ml,,2012-01-05,2012-01-05,30.0,30.0,1.0,,,,,
N150a012,EX,N150a012_31.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,12,,,NIMORAZOLE,11.4,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.38,ml,,2012-01-06,2012-01-06,31.0,31.0,1.0,,,,,
N150a012,EX,N150a012_34.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,12,,,NIMORAZOLE,12.0,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.4,ml,,2012-01-09,2012-01-09,34.0,34.0,1.0,,,,,
N150a012,EX,N150a012_35.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,12,,,NIMORAZOLE,11.1,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.37,ml,,2012-01-10,2012-01-10,35.0,35.0,1.0,,,,,
N150a012,EX,N150a012_36.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,12,,,NIMORAZOLE,11.4,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.38,ml,,2012-01-11,2012-01-11,36.0,36.0,1.0,,,,,
N150a012,EX,N150a012_37.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,12,,,NIMORAZOLE,11.1,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.37,ml,,2012-01-12,2012-01-12,37.0,37.0,1.0,,,,,
N150a012,EX,N150a012_37.0_2,"Xeno Nimo Hypox,FaDu",EX,N150,a,12,,,CISPLATIN,111,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.37,ml,,2012-01-12,2012-01-12,37.0,37.0,1.0,,,,,
N150a012,EX,N150a012_38.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,12,,,NIMORAZOLE,11.7,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.39,ml,,2012-01-13,2012-01-13,38.0,38.0,1.0,,,,,
N150a012,EX,N150a012_41.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,12,,,NIMORAZOLE,11.4,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.38,ml,,2012-01-16,2012-01-16,41.0,41.0,1.0,,,,,
N150a012,EX,N150a012_42.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,12,,,NIMORAZOLE,11.4,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.38,ml,,2012-01-17,2012-01-17,42.0,42.0,1.0,,,,,
N150a012,EX,N150a012_43.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,12,,,NIMORAZOLE,11.4,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.38,ml,,2012-01-18,2012-01-18,43.0,43.0,1.0,,,,,
N150a012,EX,N150a012_44.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,12,,,NIMORAZOLE,11.4,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.38,ml,,2012-01-19,2012-01-19,44.0,44.0,1.0,,,,,
N150a012,EX,N150a012_44.0_2,"Xeno Nimo Hypox,FaDu",EX,N150,a,12,,,CISPLATIN,114,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.38,ml,,2012-01-19,2012-01-19,44.0,44.0,1.0,,,,,
N150a012,EX,N150a012_45.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,12,,,NIMORAZOLE,11.1,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.37,ml,,2012-01-20,2012-01-20,45.0,45.0,1.0,,,,,
N150a012,EX,N150a012_48.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,12,,,NIMORAZOLE,11.1,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.37,ml,,2012-01-23,2012-01-23,48.0,48.0,1.0,,,,,
N150a012,EX,N150a012_49.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,12,,,NIMORAZOLE,10.8,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.36,ml,,2012-01-24,2012-01-24,49.0,49.0,1.0,,,,,
N150a012,EX,N150a012_50.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,12,,,NIMORAZOLE,11.4,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.38,ml,,2012-01-25,2012-01-25,50.0,50.0,1.0,,,,,
N150a012,EX,N150a012_51.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,12,,,NIMORAZOLE,12.0,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.4,ml,,2012-01-26,2012-01-26,51.0,51.0,1.0,,,,,
N150a012,EX,N150a012_51.0_2,"Xeno Nimo Hypox,FaDu",EX,N150,a,12,,,CISPLATIN,0.12,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.4,ml,,2012-01-26,2012-01-26,51.0,51.0,1.0,,,,,
N150a012,EX,N150a012_52.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,12,,,NIMORAZOLE,10.5,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.35,ml,,2012-01-27,2012-01-27,52.0,52.0,1.0,,,,,
N150a012,EX,N150a012_55.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,12,,,NIMORAZOLE,11.1,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.37,ml,,2012-01-30,2012-01-30,55.0,55.0,1.0,,,,,
N150a012,EX,N150a012_56.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,12,,,NIMORAZOLE,10.8,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.36,ml,,2012-01-31,2012-01-31,56.0,56.0,1.0,,,,,
N150a012,EX,N150a012_57.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,12,,,NIMORAZOLE,11.4,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.38,ml,,2012-02-01,2012-02-01,57.0,57.0,1.0,,,,,
N150b057,EX,N150b057_27.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,NIMORAZOLE,10.8,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.36,ml,,2012-02-27,2012-02-27,27.0,27.0,1.0,,,,,
N150b057,EX,N150b057_27.0_2,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,CISPLATIN,108,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.36,ml,,2012-02-27,2012-02-27,27.0,27.0,1.0,,,,,
N150b057,EX,N150b057_28.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,NIMORAZOLE,10.5,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.35,ml,,2012-02-28,2012-02-28,28.0,28.0,1.0,,,,,
N150b057,EX,N150b057_29.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,NIMORAZOLE,10.2,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.34,ml,,2012-02-29,2012-02-29,29.0,29.0,1.0,,,,,
N150b057,EX,N150b057_30.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,NIMORAZOLE,10.2,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.34,ml,,2012-03-01,2012-03-01,30.0,30.0,1.0,,,,,
N150b057,EX,N150b057_31.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,NIMORAZOLE,10.2,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.34,ml,,2012-03-02,2012-03-02,31.0,31.0,1.0,,,,,
N150b057,EX,N150b057_34.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,NIMORAZOLE,9.9,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.33,ml,,2012-03-05,2012-03-05,34.0,34.0,1.0,,,,,
N150b057,EX,N150b057_34.0_2,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,CISPLATIN,99,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.33,ml,,2012-03-05,2012-03-05,34.0,34.0,1.0,,,,,
N150b057,EX,N150b057_35.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,NIMORAZOLE,9.6,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.32,ml,,2012-03-06,2012-03-06,35.0,35.0,1.0,,,,,
N150b057,EX,N150b057_36.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,NIMORAZOLE,9.6,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.32,ml,,2012-03-07,2012-03-07,36.0,36.0,1.0,,,,,
N150b057,EX,N150b057_37.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,NIMORAZOLE,9.3,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.31,ml,,2012-03-08,2012-03-08,37.0,37.0,1.0,,,,,
N150b057,EX,N150b057_38.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,NIMORAZOLE,9.6,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.32,ml,,2012-03-09,2012-03-09,38.0,38.0,1.0,,,,,
N150b057,EX,N150b057_41.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,NIMORAZOLE,9.0,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.3,ml,,2012-03-12,2012-03-12,41.0,41.0,1.0,,,,,
N150b057,EX,N150b057_41.0_2,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,CISPLATIN,0.09,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.3,ml,,2012-03-12,2012-03-12,41.0,41.0,1.0,,,,,
N150b057,EX,N150b057_42.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,NIMORAZOLE,8.7,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.29,ml,,2012-03-13,2012-03-13,42.0,42.0,1.0,,,,,
N150b057,EX,N150b057_43.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,NIMORAZOLE,9.0,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.3,ml,,2012-03-14,2012-03-14,43.0,43.0,1.0,,,,,
N150b057,EX,N150b057_44.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,NIMORAZOLE,9.0,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.3,ml,,2012-03-15,2012-03-15,44.0,44.0,1.0,,,,,
N150b057,EX,N150b057_45.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,NIMORAZOLE,8.7,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.29,ml,,2012-03-16,2012-03-16,45.0,45.0,1.0,,,,,
N150b057,EX,N150b057_48.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,NIMORAZOLE,8.4,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.28,ml,,2012-03-19,2012-03-19,48.0,48.0,1.0,,,,,
N150b057,EX,N150b057_48.0_2,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,CISPLATIN,84,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.28,ml,,2012-03-19,2012-03-19,48.0,48.0,1.0,,,,,
N150b057,EX,N150b057_49.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,NIMORAZOLE,8.4,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.28,ml,,2012-03-20,2012-03-20,49.0,49.0,1.0,,,,,
N150b057,EX,N150b057_50.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,NIMORAZOLE,8.7,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.29,ml,,2012-03-21,2012-03-21,50.0,50.0,1.0,,,,,
N150b057,EX,N150b057_51.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,NIMORAZOLE,8.7,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.29,ml,,2012-03-22,2012-03-22,51.0,51.0,1.0,,,,,
N150b057,EX,N150b057_52.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,NIMORAZOLE,8.7,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.29,ml,,2012-03-23,2012-03-23,52.0,52.0,1.0,,,,,
N150b057,EX,N150b057_55.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,NIMORAZOLE,9.3,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.31,ml,,2012-03-26,2012-03-26,55.0,55.0,1.0,,,,,
N150b057,EX,N150b057_55.0_2,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,CISPLATIN,93,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.31,ml,,2012-03-26,2012-03-26,55.0,55.0,1.0,,,,,
N150b057,EX,N150b057_56.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,NIMORAZOLE,9.3,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.31,ml,,2012-03-27,2012-03-27,56.0,56.0,1.0,,,,,
N150b057,EX,N150b057_57.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,NIMORAZOLE,9.0,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.3,ml,,2012-03-28,2012-03-28,57.0,57.0,1.0,,,,,
N150b057,EX,N150b057_58.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,NIMORAZOLE,9.0,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.3,ml,,2012-03-29,2012-03-29,58.0,58.0,1.0,,,,,
N150b057,EX,N150b057_59.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,NIMORAZOLE,9.3,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.31,ml,,2012-03-30,2012-03-30,59.0,59.0,1.0,,,,,
N150b057,EX,N150b057_62.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,NIMORAZOLE,9.3,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.31,ml,,2012-04-02,2012-04-02,62.0,62.0,1.0,,,,,
N150b057,EX,N150b057_62.0_2,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,CISPLATIN,93,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.31,ml,,2012-04-02,2012-04-02,62.0,62.0,1.0,,,,,
N150b057,EX,N150b057_63.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,NIMORAZOLE,9.6,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.32,ml,,2012-04-03,2012-04-03,63.0,63.0,1.0,,,,,
N150b057,EX,N150b057_64.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,NIMORAZOLE,9.3,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.31,ml,,2012-04-04,2012-04-04,64.0,64.0,1.0,,,,,
N150b057,EX,N150b057_65.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,NIMORAZOLE,9.0,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.3,ml,,2012-04-05,2012-04-05,65.0,65.0,1.0,,,,,
N150b057,EX,N150b057_66.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,57,,,NIMORAZOLE,9.6,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.32,ml,,2012-04-06,2012-04-06,66.0,66.0,1.0,,,,,
N150b059,EX,N150b059_27.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,59,,,NIMORAZOLE,12.9,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.43,ml,,2012-02-27,2012-02-27,27.0,27.0,1.0,,,,,
N150b059,EX,N150b059_27.0_2,"Xeno Nimo Hypox,FaDu",EX,N150,b,59,,,CISPLATIN,129,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.43,ml,,2012-02-27,2012-02-27,27.0,27.0,1.0,,,,,
N150b059,EX,N150b059_28.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,59,,,NIMORAZOLE,12.6,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.42,ml,,2012-02-28,2012-02-28,28.0,28.0,1.0,,,,,
N150b059,EX,N150b059_29.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,59,,,NIMORAZOLE,12.6,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.42,ml,,2012-02-29,2012-02-29,29.0,29.0,1.0,,,,,
N150b059,EX,N150b059_30.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,59,,,NIMORAZOLE,12.6,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.42,ml,,2012-03-01,2012-03-01,30.0,30.0,1.0,,,,,
N150b059,EX,N150b059_31.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,59,,,NIMORAZOLE,12.3,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.41,ml,,2012-03-02,2012-03-02,31.0,31.0,1.0,,,,,
N150b059,EX,N150b059_34.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,59,,,NIMORAZOLE,12.3,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.41,ml,,2012-03-05,2012-03-05,34.0,34.0,1.0,,,,,
N150b059,EX,N150b059_34.0_2,"Xeno Nimo Hypox,FaDu",EX,N150,b,59,,,CISPLATIN,123,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.41,ml,,2012-03-05,2012-03-05,34.0,34.0,1.0,,,,,
N150b059,EX,N150b059_35.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,59,,,NIMORAZOLE,12.6,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.42,ml,,2012-03-06,2012-03-06,35.0,35.0,1.0,,,,,
N150b059,EX,N150b059_36.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,59,,,NIMORAZOLE,12.3,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.41,ml,,2012-03-07,2012-03-07,36.0,36.0,1.0,,,,,
N150b059,EX,N150b059_37.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,59,,,NIMORAZOLE,12.3,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.41,ml,,2012-03-08,2012-03-08,37.0,37.0,1.0,,,,,
N150b059,EX,N150b059_38.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,59,,,NIMORAZOLE,12.0,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.4,ml,,2012-03-09,2012-03-09,38.0,38.0,1.0,,,,,
N150b059,EX,N150b059_41.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,59,,,NIMORAZOLE,12.0,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.4,ml,,2012-03-12,2012-03-12,41.0,41.0,1.0,,,,,
N150b059,EX,N150b059_41.0_2,"Xeno Nimo Hypox,FaDu",EX,N150,b,59,,,CISPLATIN,0.12,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.4,ml,,2012-03-12,2012-03-12,41.0,41.0,1.0,,,,,
N150b059,EX,N150b059_42.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,59,,,NIMORAZOLE,11.7,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.39,ml,,2012-03-13,2012-03-13,42.0,42.0,1.0,,,,,
N150b059,EX,N150b059_43.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,59,,,NIMORAZOLE,12.0,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.4,ml,,2012-03-14,2012-03-14,43.0,43.0,1.0,,,,,
N150b059,EX,N150b059_44.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,59,,,NIMORAZOLE,12.0,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.4,ml,,2012-03-15,2012-03-15,44.0,44.0,1.0,,,,,
N150b059,EX,N150b059_45.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,59,,,NIMORAZOLE,12.0,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.4,ml,,2012-03-16,2012-03-16,45.0,45.0,1.0,,,,,
N150b059,EX,N150b059_48.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,59,,,NIMORAZOLE,12.0,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.4,ml,,2012-03-19,2012-03-19,48.0,48.0,1.0,,,,,
N150b059,EX,N150b059_48.0_2,"Xeno Nimo Hypox,FaDu",EX,N150,b,59,,,CISPLATIN,0.12,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.4,ml,,2012-03-19,2012-03-19,48.0,48.0,1.0,,,,,
N150b059,EX,N150b059_49.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,59,,,NIMORAZOLE,11.7,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.39,ml,,2012-03-20,2012-03-20,49.0,49.0,1.0,,,,,
N150b059,EX,N150b059_50.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,59,,,NIMORAZOLE,12.0,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.4,ml,,2012-03-21,2012-03-21,50.0,50.0,1.0,,,,,
N150b059,EX,N150b059_51.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,59,,,NIMORAZOLE,12.0,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.4,ml,,2012-03-22,2012-03-22,51.0,51.0,1.0,,,,,
N150b059,EX,N150b059_52.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,59,,,NIMORAZOLE,11.4,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.38,ml,,2012-03-23,2012-03-23,52.0,52.0,1.0,,,,,
N150b059,EX,N150b059_55.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,59,,,NIMORAZOLE,11.7,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.39,ml,,2012-03-26,2012-03-26,55.0,55.0,1.0,,,,,
N150b059,EX,N150b059_55.0_2,"Xeno Nimo Hypox,FaDu",EX,N150,b,59,,,CISPLATIN,117,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.39,ml,,2012-03-26,2012-03-26,55.0,55.0,1.0,,,,,
N150b059,EX,N150b059_56.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,59,,,NIMORAZOLE,11.4,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.38,ml,,2012-03-27,2012-03-27,56.0,56.0,1.0,,,,,
N150b059,EX,N150b059_57.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,b,59,,,NIMORAZOLE,11.1,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.37,ml,,2012-03-28,2012-03-28,57.0,57.0,1.0,,,,,
